customer_id,latent_0,latent_1,latent_2,latent_3
39634,0.19798979,-0.24113367,0.29244193,0.36428624
43460,0.14717701,-0.21941344,0.15812325,-0.36318913
23937,0.15699503,-0.23039728,0.24345435,-0.23383108
2431,-0.16301139,-0.07459055,0.2853449,0.5001299
10090,-0.032883625,-0.59243983,-0.40438122,-0.33561677
24058,0.22258738,-0.27282915,0.31215158,0.35427317
26709,-0.12221707,-0.1366149,0.12125899,-0.10187283
47768,0.047640305,-0.298067,0.23412447,-0.092796534
29757,0.101964936,-0.21755163,0.13653983,-0.12146876
33207,-0.055536278,-0.08910896,0.29374307,0.6551437
42493,-0.38580817,0.13394833,0.018241897,0.06321753
24099,0.0380584,-0.09527759,0.23407722,0.6933928
27655,-0.15442805,-0.0634767,0.21118805,-0.0622359
28439,0.02938087,-0.30510554,0.1944475,-0.12692516
15019,0.08237069,-0.08644508,0.23182864,-0.23983403
42461,0.11514937,-0.14400114,0.2824613,-0.21651652
13548,-0.49761274,0.18290687,0.075575255,0.19938159
19701,-0.1436418,-0.22054538,0.24613637,0.0007300002
22276,-0.09959335,-0.12855862,0.17571905,0.5688583
24670,-0.1414797,-0.06435337,0.2303971,-0.072932474
12394,-0.32978418,0.21796076,0.094830446,0.093082264
39945,-0.10476573,-0.4317411,-0.31047946,-0.41712174
21907,-0.03732941,-0.063405156,0.19785008,0.7151714
39059,-0.10701364,-0.12440026,0.19496468,-0.043346383
16880,0.2516172,-0.23727709,0.2728172,0.27276745
28426,0.23536983,-0.2986505,0.2144045,0.39497826
33151,-0.32434863,-0.22413604,0.10388095,-0.3577318
21623,-0.14579421,-0.10959553,0.265761,-0.09139464
37350,0.28695852,-0.11283335,0.2378693,0.22538054
2884,-0.26128322,-0.11735345,0.15244794,-0.06343397
39427,-0.44363654,0.24871409,0.19024031,0.19735023
9304,-0.033359636,-0.30117327,0.24844907,-0.097292915
1833,-0.02740744,-0.015920153,0.3045733,0.68063164
33425,-0.15130745,0.0441466,0.27488673,0.73585856
2030,-0.021398388,-0.30171144,0.21277739,-0.05518952
18510,0.06953932,-0.15994492,0.21887575,-0.2640122
30234,-0.24275814,0.027304849,0.17923023,0.62600505
16910,-0.1825069,0.07712378,0.18826653,0.21831807
35254,0.122712545,-0.12541252,0.27653074,-0.19095433
35404,-0.19151221,-0.03376209,0.13836135,-0.09112944
40311,-0.1466764,-0.13223392,0.250439,-0.07374758
39469,-0.43335292,0.073186584,0.15168864,0.110490784
11796,-0.20783427,-0.16100538,0.08823642,-0.21361132
19908,-0.07382269,-0.2470465,0.2562801,-0.15615535
49813,0.1317727,-0.077388756,0.27505413,-0.047959168
29867,-0.085343055,-0.3110288,0.18499903,-0.12359481
22350,0.10297911,-0.2534141,0.15847045,-0.32106394
39087,0.08015192,-0.18761377,0.17079782,-0.15557683
9042,0.14741148,-0.34182677,0.16490047,-0.15173973
19871,0.005141646,-0.106246956,0.21888095,0.70198417
49145,-0.043067098,-0.33035994,0.20650548,-0.10701885
29418,-0.11172209,-0.05765424,0.19758025,-0.06431685
35626,0.17805733,-0.3613369,0.2258233,0.3943927
48729,-0.027042383,-0.03585566,0.0838131,0.6651291
18125,-0.050443918,-0.22648056,0.24181776,-0.112385914
26769,-0.18160817,-0.12602118,0.20889623,-0.06297949
49776,-0.11966388,-0.042808436,0.23823795,-0.114369355
34352,-0.109488405,-0.024004148,0.2246116,-0.077779844
14841,-0.05376248,-0.19788945,0.20917028,-0.10549506
46366,0.14923456,-0.04404341,0.30222377,0.28644946
35051,0.20451646,-0.22653909,0.15614006,-0.17266525
43511,0.018785056,-0.2923638,0.13268483,-0.13968717
32771,0.08056817,-0.129746,0.28135517,-0.06738938
14762,-0.07151497,-0.12272877,0.20002846,-0.12335388
16396,-0.069359414,-0.07739125,0.13554806,-0.11593076
24461,-0.10395616,0.08244836,0.23640186,-0.1115271
41634,-0.15428351,-0.17631711,0.2653533,0.06421777
39977,-0.08614862,0.020339984,0.1743726,0.55361146
39132,0.091713965,-0.11503173,0.17620088,-0.0043573626
14871,-0.16158754,-0.18453935,0.26816425,-0.2991483
48615,-0.48110408,0.27145988,0.17174149,0.2670304
15825,-0.07979612,-0.12820722,0.22316517,-0.1240075
8186,-0.0089236405,-0.27559504,0.17171915,-0.17035693
46314,0.14061764,-0.24618985,0.2741874,-0.259144
20325,0.12853482,-0.11164603,0.28120556,-0.30818892
21570,-0.10162305,-0.1217319,0.19140357,0.546985
4108,-0.19552729,-0.10789243,0.13662152,0.6647627
3012,-0.105582945,-0.3510884,0.099828474,-0.17465863
48725,-0.11806379,0.06084337,0.26300824,0.77658165
36988,-0.027255936,-0.258846,0.28592068,-0.13120781
6054,0.012619228,-0.2487619,0.29300192,-0.13841139
30382,-0.06483907,-0.33815148,0.24213977,-0.16042288
16781,0.10521898,-0.32043573,0.14820288,-0.18269913
15338,-0.17967032,-0.14051448,0.24916232,-0.037363373
25509,-0.4270883,0.34093878,0.18622594,0.23351617
10857,-0.014953343,-0.24789868,0.29791704,-0.11838213
21840,0.11153288,-0.1536241,0.11713859,-0.29489958
32685,0.19075336,-0.08989938,0.29847056,0.23687978
36010,-0.39908105,0.069015,0.13591476,-0.35224044
33428,-0.10742636,-0.04300734,0.23757985,0.63951004
14887,0.03135245,-0.31511518,0.15302235,-0.17265077
20257,-0.30742332,0.19733046,0.08062097,0.11598515
2780,-0.07082491,-0.33943284,0.09030997,-0.13844818
5728,-0.34812525,0.13231869,0.20163023,0.13582392
11534,0.02209357,-0.2465099,0.300024,-0.17638305
35858,0.2869769,-0.14747332,0.29827985,0.37351373
21694,0.2958605,-0.16499141,0.22777629,0.28185382
41179,-0.23490697,-0.20632793,0.2024445,-0.3499384
48271,0.0031050637,-0.31844413,0.21112883,-0.05946841
21585,-0.06088775,-0.15080504,0.0656624,-0.14918123
23148,0.2264681,-0.07100991,0.30624077,0.2890362
46147,-0.048382632,0.01974211,0.2804326,0.75008816
1117,-0.06364736,-0.19629103,0.2836453,-0.10986762
22643,0.17093582,-0.13969259,0.2911783,-0.27884388
23396,0.079527915,-0.38030902,0.1639742,-0.06626482
